Date,"BTC price, USD","ETH price, USD","BTC profit, USD per day for TH","ETH profit, USD per day for TH"
2011-01-25,0.415,,21429,
2011-01-26,0.414,,22265,
2011-01-27,0.415,,18910,
2011-01-28,0.434,,19738,
2011-01-29,0.442,,21272,
2011-01-30,0.462,,20205,
2011-01-31,0.5,,25449,
2011-02-01,0.626,,26373,
2011-02-02,0.713,,31941,
2011-02-03,0.706,,33032,
2011-02-04,0.766,,38171,
2011-02-05,0.88,,37596,
2011-02-06,0.91,,41289,
2011-02-07,0.895,,43983,
2011-02-08,0.904,,32165,
2011-02-09,0.998,,41461,
2011-02-10,1.03,,39565,
2011-02-11,1.025,,39386,
2011-02-12,1.045,,40733,
2011-02-13,1.051,,40934,
2011-02-14,1.055,,40466,
2011-02-15,1.053,,44062,
2011-02-16,1.048,,42214,
2011-02-17,1.043,,37843,
2011-02-18,0.965,,27672,
2011-02-19,0.893,,21660,
2011-02-20,0.899,,26641,
2011-02-21,0.833,,23086,
2011-02-22,0.86,,24166,
2011-02-23,0.905,,27105,
2011-02-24,0.968,,24581,
2011-02-25,0.941,,26342,
2011-02-26,0.935,,28634,
2011-02-27,0.924,,17936,
2011-02-28,0.875,,13303,
2011-03-01,0.89,,14735,
2011-03-02,0.93,,18182,
2011-03-03,0.926,,18306,
2011-03-04,0.906,,17962,
2011-03-05,0.91,,18570,
2011-03-06,0.905,,16013,
2011-03-07,0.878,,13215,
2011-03-08,0.878,,15058,
2011-03-09,0.858,,13040,
2011-03-10,0.899,,9768,
2011-03-11,0.885,,12250,
2011-03-12,0.899,,12721,
2011-03-13,0.896,,10565,
2011-03-14,0.894,,11759,
2011-03-15,0.882,,12090,
2011-03-16,0.863,,11581,
2011-03-17,0.835,,11974,
2011-03-18,0.833,,9432,
2011-03-19,0.771,,10231,
2011-03-20,0.753,,10861,
2011-03-21,0.76,,10222,
2011-03-22,0.784,,9079,
2011-03-23,0.83,,12456,
2011-03-24,0.849,,10566,
2011-03-25,0.875,,14377,
2011-03-26,0.869,,11393,
2011-03-27,0.825,,11560,
2011-03-28,0.809,,12953,
2011-03-29,0.796,,11425,
2011-03-30,0.791,,11590,
2011-03-31,0.787,,12362,
2011-04-01,0.775,,10742,
2011-04-02,0.778,,11307,
2011-04-03,0.78,,11500,
2011-04-04,0.729,,10377,
2011-04-05,0.7,,10319,
2011-04-06,0.744,,8136,
2011-04-07,0.751,,8930,
2011-04-08,0.752,,9874,
2011-04-09,0.74,,8636,
2011-04-10,0.743,,9545,
2011-04-11,0.753,,9285,
2011-04-12,0.819,,9822,
2011-04-13,0.891,,11098,
2011-04-14,0.97,,11005,
2011-04-15,0.995,,11267,
2011-04-16,1.017,,13536,
2011-04-17,1.08,,13821,
2011-04-18,1.15,,11881,
2011-04-19,1.18,,13805,
2011-04-20,1.162,,12058,
2011-04-21,1.176,,12128,
2011-04-22,1.31,,15424,
2011-04-23,1.546,,16925,
2011-04-24,1.716,,17905,
2011-04-25,1.595,,19198,
2011-04-26,1.687,,17933,
2011-04-27,1.841,,19159,
2011-04-28,2.046,,22424,
2011-04-29,2.546,,28808,
2011-04-30,3.215,,29634,
2011-05-01,3.267,,29169,
2011-05-02,3.149,,29596,
2011-05-03,3.305,,30110,
2011-05-04,3.441,,31936,
2011-05-05,3.367,,32155,
2011-05-06,3.393,,31826,
2011-05-07,3.546,,31741,
2011-05-08,3.753,,36024,
2011-05-09,3.835,,33598,
2011-05-10,4.81,,26443,
2011-05-11,5.65,,36942,
2011-05-12,5.895,,36044,
2011-05-13,7.259,,50888,
2011-05-14,7.659,,50944,
2011-05-15,6.995,,42434,
2011-05-16,7.512,,51417,
2011-05-17,7.62,,49339,
2011-05-18,7.036,,45683,
2011-05-19,6.756,,22475,
2011-05-20,6.198,,26982,
2011-05-21,5.96,,25381,
2011-05-22,6.415,,26889,
2011-05-23,6.92,,31351,
2011-05-24,7.285,,30896,
2011-05-25,7.945,,33178,
2011-05-26,8.524,,29291,
2011-05-27,8.6,,14574,
2011-05-28,8.425,,18335,
2011-05-29,8.35,,21192,
2011-05-30,8.624,,18804,
2011-05-31,8.771,,19792,
2011-06-01,9.156,,23796,
2011-06-02,10.1,,22997,
2011-06-03,12.445,,29207,
2011-06-04,16.501,,40743,
2011-06-05,17.833,,40490,
2011-06-06,17.625,,35921,
2011-06-07,21.092,,34675,
2011-06-08,26.8,,48859,
2011-06-09,29.415,,55839,
2011-06-10,26.434,,47108,
2011-06-11,19.301,,37893,
2011-06-12,16.648,,28290,
2011-06-13,19.194,,33463,
2011-06-14,19.54,,36399,
2011-06-15,19.385,,28786,
2011-06-16,18.25,,16713,
2011-06-17,16.341,,18853,
2011-06-18,16.445,,19589,
2011-06-19,17.18,,20624,
2011-06-20,17,,19864,
2011-06-21,17,,20668,
2011-06-22,17,,19330,
2011-06-23,17,,19228,
2011-06-24,17,,13914,
2011-06-25,17,,10949,
2011-06-26,16.98,,12193,
2011-06-27,16.6,,13076,
2011-06-28,16.85,,12550,
2011-06-29,16.9,,12463,
2011-06-30,16.473,,12788,
2011-07-01,15.736,,10650,
2011-07-02,15.385,,10885,
2011-07-03,15.42,,11113,
2011-07-04,14.65,,11129,
2011-07-05,13.392,,8661,
2011-07-06,13.853,,10222,
2011-07-07,14.737,,8621,
2011-07-08,14.545,,10898,
2011-07-09,14.347,,8572,
2011-07-10,14.638,,8915,
2011-07-11,14.555,,9749,
2011-07-12,14.109,,8815,
2011-07-13,13.989,,10195,
2011-07-14,13.985,,7892,
2011-07-15,13.905,,9238,
2011-07-16,13.765,,8348,
