Date,"BTC price, USD","ETH price, USD","BTC profit, USD per day for TH","ETH profit, USD per day for TH"
2012-11-18,11.72,,3315,
2012-11-19,11.732,,3886,
2012-11-20,11.713,,3386,
2012-11-21,11.735,,3607,
2012-11-22,12.086,,3374,
2012-11-23,12.357,,4179,
2012-11-24,12.399,,3484,
2012-11-25,12.447,,3650,
2012-11-26,12.364,,3655,
2012-11-27,12.223,,3538,
2012-11-28,12.274,,3186,
2012-11-29,12.399,,1778,
2012-11-30,12.552,,1667,
2012-12-01,12.564,,2059,
2012-12-02,12.536,,1710,
2012-12-03,12.591,,1840,
2012-12-04,13.03,,1678,
2012-12-05,13.39,,2062,
2012-12-06,13.3,,2040,
2012-12-07,13.399,,1970,
2012-12-08,13.46,,1950,
2012-12-09,13.404,,1899,
2012-12-10,13.411,,2113,
2012-12-11,13.529,,2078,
2012-12-12,13.684,,1875,
2012-12-13,13.7,,2072,
2012-12-14,13.653,,1857,
2012-12-15,13.545,,2186,
2012-12-16,13.395,,1905,
2012-12-17,13.275,,2242,
2012-12-18,13.275,,1946,
2012-12-19,13.449,,2075,
2012-12-20,13.578,,1855,
2012-12-21,13.54,,2116,
2012-12-22,13.436,,2331,
2012-12-23,13.392,,1624,
2012-12-24,13.376,,2126,
2012-12-25,13.385,,1925,
2012-12-26,13.409,,2470,
2012-12-27,13.443,,2221,
2012-12-28,13.431,,2338,
2012-12-29,13.45,,2163,
2012-12-30,13.431,,2511,
2012-12-31,13.451,,2102,
2013-01-01,13.407,,2246,
2013-01-02,13.201,,2233,
2013-01-03,13.212,,2276,
2013-01-04,13.219,,2259,
2013-01-05,13.173,,2074,
2013-01-06,13.122,,2313,
2013-01-07,13.162,,2450,
2013-01-08,13.406,,1821,
2013-01-09,13.602,,2110,
2013-01-10,13.751,,2279,
2013-01-11,13.988,,1947,
2013-01-12,13.981,,2283,
2013-01-13,13.922,,2291,
2013-01-14,13.982,,2370,
2013-01-15,13.967,,1924,
2013-01-16,14.199,,2374,
2013-01-17,14.856,,1993,
2013-01-18,15.302,,2479,
2013-01-19,15.299,,2702,
2013-01-20,15.335,,2323,
2013-01-21,15.823,,2304,
2013-01-22,16.642,,2785,
2013-01-23,17.023,,2521,
2013-01-24,16.938,,3147,
2013-01-25,16.824,,2711,
2013-01-26,17.166,,3252,
2013-01-27,17.284,,2907,
2013-01-28,17.713,,2930,
2013-01-29,18.539,,3310,
2013-01-30,18.975,,3227,
2013-01-31,19.718,,3720,
2013-02-01,20.218,,3013,
2013-02-02,20.025,,3262,
2013-02-03,20.02,,3974,
2013-02-04,20.116,,3129,
2013-02-05,20.114,,3196,
2013-02-06,20.475,,2984,
2013-02-07,21.218,,3438,
2013-02-08,21.993,,3408,
2013-02-09,22.796,,3488,
2013-02-10,23.261,,3749,
2013-02-11,23.705,,3534,
2013-02-12,24.107,,3588,
2013-02-13,24.252,,4231,
2013-02-14,25.164,,3576,
2013-02-15,26.364,,4400,
2013-02-16,26.544,,4194,
2013-02-17,26.545,,4062,
2013-02-18,26.525,,3333,
2013-02-19,27.694,,3860,
2013-02-20,28.941,,4526,
2013-02-21,29.279,,3778,
2013-02-22,29.255,,4202,
2013-02-23,29.01,,3914,
2013-02-24,28.771,,3800,
2013-02-25,28.8,,4495,
2013-02-26,29.141,,3941,
2013-02-27,29.849,,4242,
2013-02-28,31.366,,4132,
2013-03-01,33.236,,4117,
2013-03-02,33.118,,3779,
2013-03-03,32.458,,4010,
2013-03-04,33.353,,4016,
2013-03-05,36.627,,3763,
2013-03-06,38.99,,4657,
2013-03-07,39.99,,5021,
2013-03-08,41.29,,4804,
2013-03-09,43.161,,5174,
2013-03-10,44.418,,5269,
2013-03-11,45.12,,4830,
2013-03-12,44.108,,5229,
2013-03-13,42.786,,5036,
2013-03-14,43.303,,4944,
2013-03-15,43.596,,4483,
2013-03-16,44.159,,4750,
2013-03-17,43.931,,4939,
2013-03-18,46.26,,4637,
2013-03-19,51.382,,4862,
2013-03-20,57.752,,6863,
2013-03-21,63.989,,6683,
2013-03-22,65.74,,6961,
2013-03-23,63.616,,6653,
2013-03-24,64.77,,5122,
2013-03-25,69.145,,4836,
2013-03-26,71.704,,5453,
2013-03-27,79.237,,5783,
2013-03-28,85.752,,7434,
2013-03-29,86.591,,6466,
2013-03-30,87.454,,6606,
2013-03-31,89.05,,6971,
2013-04-01,94.715,,7220,
2013-04-02,107.749,,7990,
2013-04-03,120.003,,8852,
2013-04-04,123.562,,8777,
2013-04-05,128.664,,9950,
2013-04-06,134.114,,8923,
2013-04-07,142.08,,9411,
2013-04-08,163.561,,10124,
2013-04-09,195.397,,13352,
2013-04-10,178.5,,12305,
2013-04-11,115,,7092,
2013-04-12,92.446,,6360,
2013-04-13,98.435,,6595,
2013-04-14,91.849,,5779,
2013-04-15,87.108,,5865,
2013-04-16,75.043,,4937,
2013-04-17,77.734,,5006,
2013-04-18,94.679,,4878,
2013-04-19,106.7,,6198,
2013-04-20,114.48,,6887,
2013-04-21,114.295,,6616,
2013-04-22,113.535,,6062,
2013-04-23,120.78,,7056,
2013-04-24,134.8,,7469,
2013-04-25,139.74,,8539,
2013-04-26,132.945,,7248,
2013-04-27,126.316,,6431,
2013-04-28,124.045,,7773,
2013-04-29,130.56,,7263,
2013-04-30,134.465,,6393,
2013-05-01,124.662,,6340,
2013-05-02,111.049,,5352,
2013-05-03,102.694,,5046,
2013-05-04,105.04,,5658,
2013-05-05,113.464,,6262,
2013-05-06,113.005,,5457,
2013-05-07,110.375,,5568,
2013-05-08,109.595,,5355,
2013-05-09,108.42,,5442,
2013-05-10,110.54,,5770,
2013-05-11,112.503,,5926,
2013-05-12,111.738,,5199,
2013-05-13,112.241,,5179,
2013-05-14,108.635,,4670,
2013-05-15,104.575,,4587,
2013-05-16,107,,4982,
2013-05-17,110.492,,5231,
2013-05-18,112.815,,5206,
2013-05-19,112.905,,4934,
2013-05-20,113.2,,4693,
2013-05-21,115.28,,5631,
2013-05-22,116.686,,5211,
2013-05-23,118.696,,5784,
2013-05-24,124.605,,5588,
2013-05-25,127.725,,5608,
2013-05-26,128.75,,5311,
2013-05-27,128.355,,5450,
2013-05-28,125.725,,5226,
2013-05-29,126.43,,5342,
2013-05-30,127.245,,5567,
2013-05-31,126.424,,5071,
2013-06-01,126.909,,5865,
2013-06-02,124.135,,4901,
2013-06-03,120.333,,5209,
2013-06-04,119.685,,5139,
2013-06-05,120.096,,4025,
2013-06-06,119.388,,3829,
2013-06-07,115.014,,3733,
2013-06-08,110.585,,3834,
2013-06-09,105.935,,3133,
2013-06-10,104.06,,3358,
2013-06-11,106.555,,3690,
2013-06-12,108.05,,3678,
2013-06-13,106.945,,3238,
2013-06-14,102.855,,3401,
2013-06-15,100.25,,3173,
2013-06-16,100.355,,3180,
2013-06-17,100.846,,2330,
2013-06-18,103.663,,2545,
2013-06-19,105.104,,2969,
2013-06-20,105.826,,2897,
2013-06-21,106.072,,2966,
2013-06-22,103.671,,2732,
2013-06-23,101.679,,2511,
2013-06-24,98.478,,2541,
2013-06-25,97.247,,2585,
2013-06-26,98,,2560,
2013-06-27,96.6,,2646,
2013-06-28,92.242,,2374,
2013-06-29,89.283,,2292,
2013-06-30,89.829,,1973,
2013-07-01,85.608,,2033,
2013-07-02,83.204,,1929,
2013-07-03,81.424,,2107,
2013-07-04,78.461,,1745,
2013-07-05,73.017,,1830,
2013-07-06,66,,1642,
2013-07-07,69.751,,1573,
2013-07-08,73.549,,1785,
2013-07-09,72.494,,1654,
2013-07-10,75.989,,1892,
2013-07-11,81.5,,1485,
2013-07-12,84.999,,1449,
2013-07-13,88.095,,1830,
2013-07-14,88.156,,1731,
2013-07-15,89.295,,1698,
2013-07-16,89.925,,1693,
2013-07-17,88.775,,1902,
2013-07-18,86.483,,1543,
2013-07-19,83.838,,1643,
2013-07-20,83.858,,1644,
2013-07-21,83.889,,1731,
2013-07-22,84.1,,1337,
2013-07-23,85.24,,1256,
2013-07-24,86.425,,1552,
2013-07-25,87.875,,1361,
2013-07-26,89.193,,1451,
2013-07-27,88.506,,1549,
2013-07-28,88.353,,1326,
2013-07-29,91.241,,1602,
2013-07-30,93.05,,1595,
2013-07-31,96,,1529,
2013-08-01,95.875,,1440,
2013-08-02,95.495,,1611,
2013-08-03,95.372,,1272,
2013-08-04,94.551,,1351,
2013-08-05,95.46,,1283,
2013-08-06,96.892,,1365,
2013-08-07,97.39,,1299,
2013-08-08,95.932,,1388,
2013-08-09,94.179,,1178,
2013-08-10,93.381,,1341,
2013-08-11,93.038,,1268,
2013-08-12,93.989,,1234,
2013-08-13,94.938,,1132,
2013-08-14,96.293,,946.112,
2013-08-15,96.952,,989.582,
2013-08-16,96.543,,954.078,
2013-08-17,96.796,,994.908,
2013-08-18,96.925,,986.18,
2013-08-19,97.996,,946.13,
2013-08-20,101.101,,1040,
2013-08-21,105.11,,1026,
2013-08-22,107.292,,1139,
2013-08-23,106.115,,967.278,
2013-08-24,105.799,,918.683,
2013-08-25,107.66,,791.645,
2013-08-26,108.695,,863.041,
2013-08-27,111.875,,870.538,
2013-08-28,115.28,,975.111,
2013-08-29,115.785,,882.611,
2013-08-30,118.347,,945.862,
2013-08-31,122.066,,1007,
2013-09-01,124.651,,919.016,
2013-09-02,125.588,,938.406,
2013-09-03,124.863,,961.409,
2013-09-04,120.747,,658.494,
2013-09-05,117.345,,723.439,
2013-09-06,115.05,,677.406,
2013-09-07,115.023,,593.338,
2013-09-08,116.613,,691.098,
2013-09-09,117.844,,758.646,
2013-09-10,119.961,,685.728,
2013-09-11,121.733,,736.486,
2013-09-12,123.67,,724.858,
2013-09-13,124.07,,711.428,
2013-09-14,123.947,,735.547,
2013-09-15,123.693,,501.532,
2013-09-16,123.8,,495.68,
2013-09-17,124.251,,631.594,
2013-09-18,125.036,,609.765,
2013-09-19,122.527,,556.157,
2013-09-20,121.008,,568.055,
2013-09-21,121.108,,537.864,
2013-09-22,121.534,,548.75,
2013-09-23,121.286,,536.288,
2013-09-24,121.31,,546.616,
2013-09-25,122.14,,482.513,
2013-09-26,122.652,,360.376,
2013-09-27,122.374,,433.501,
2013-09-28,123.201,,439.799,
2013-09-29,123.325,,405.264,
2013-09-30,123.05,,416.742,
2013-10-01,123.374,,424.534,
2013-10-02,112.777,,411.47,
2013-10-03,108.504,,364,
2013-10-04,117.032,,378.408,
2013-10-05,119.311,,448.869,
2013-10-06,119.368,,323.004,
2013-10-07,120.405,,313.529,
2013-10-08,121.615,,328.323,
2013-10-09,122.893,,325.842,
2013-10-10,123.503,,347.472,
2013-10-11,123.832,,329.505,
2013-10-12,124.149,,365.899,
2013-10-13,126.822,,331.882,
2013-10-14,130.117,,361.001,
2013-10-15,134.739,,368.842,
2013-10-16,136.214,,276.728,
2013-10-17,138.704,,244.259,
2013-10-18,143.723,,296.782,
2013-10-19,153.886,,302.903,
2013-10-20,157.329,,285.419,
2013-10-21,164.81,,315.108,
2013-10-22,180.316,,355.89,
2013-10-23,191.426,,363.024,
2013-10-24,185.605,,349.796,
2013-10-25,169.469,,325.28,
2013-10-26,172.97,,197.291,
2013-10-27,178.428,,239.458,
2013-10-28,188.042,,233.954,
2013-10-29,193.134,,245.587,
2013-10-30,195.57,,270.194,
2013-10-31,195.73,,259.781,
2013-11-01,197.87,,269.423,
2013-11-02,199.6,,243.077,
2013-11-03,202.56,,254.811,
2013-11-04,213.806,,273.107,
2013-11-05,231.403,,276.38,
2013-11-06,248.284,,250.637,
2013-11-07,274.025,,251.434,
2013-11-08,298.115,,292.331,
2013-11-09,334.983,,361.736,
2013-11-10,291.892,,308.6,
2013-11-11,314.01,,309.128,
2013-11-12,336.63,,346.545,
2013-11-13,369.033,,321.435,
2013-11-14,400.994,,420.269,
2013-11-15,411.755,,408.954,
2013-11-16,418.345,,416.564,
2013-11-17,453.251,,409.028,
2013-11-18,550.5,,423.357,
2013-11-19,601.887,,523.522,
2013-11-20,494.668,,410.164,
2013-11-21,599.545,,482.458,
2013-11-22,675.116,,596.942,
2013-11-23,738.639,,607.032,
2013-11-24,702.545,,584.639,
2013-11-25,723.096,,594.209,
2013-11-26,796.644,,600.728,
2013-11-27,891.298,,801.79,
2013-11-28,934.539,,788.093,
2013-11-29,981.667,,732.457,
2013-11-30,1052,,824.924,
2013-12-01,915.571,,651.137,
2013-12-02,917.898,,588.415,
2013-12-03,984.654,,785.233,
2013-12-04,1037,,682.71,
2013-12-05,991.025,,705.512,
2013-12-06,916.265,,714.245,
2013-12-07,720.715,,499.25,
2013-12-08,733.548,,549.171,
2013-12-09,856.334,,543.486,
2013-12-10,916.819,,594.596,
2013-12-11,887.697,,486.613,
2013-12-12,853.621,,460.807,
2013-12-13,870.134,,496.253,
2013-12-14,854.784,,516.908,
2013-12-15,834.51,,424.992,
2013-12-16,774.416,,466.724,
2013-12-17,673.001,,376.206,
2013-12-18,554.522,,299.68,
2013-12-19,615.988,,351.48,
2013-12-20,663.529,,314.891,
2013-12-21,614.291,,286.682,
2013-12-22,634.818,,281.558,
2013-12-23,650.085,,280.033,
2013-12-24,670.728,,283.407,
2013-12-25,670.394,,276.822,
2013-12-26,730.449,,329.254,
2013-12-27,753.055,,327.066,
2013-12-28,738.125,,281.436,
2013-12-29,729.759,,333.098,
2013-12-30,760.719,,317.265,
2013-12-31,756.614,,329.658,
2014-01-01,771.144,,348.987,
2014-01-02,779.773,,223.189,
2014-01-03,793.629,,305.167,
2014-01-04,834.69,,272.972,
2014-01-05,877.685,,358.943,
2014-01-06,961.717,,339.329,
2014-01-07,914.81,,309.022,
2014-01-08,848.331,,309.674,
2014-01-09,849.84,,330.929,
2014-01-10,846.22,,276.671,
2014-01-11,899.476,,328.941,
2014-01-12,893.878,,335.13,
2014-01-13,837.415,,205.048,
2014-01-14,844.33,,238.674,
2014-01-15,857.806,,263.902,
2014-01-16,854.108,,231.919,
2014-01-17,822.71,,205.781,
2014-01-18,836.905,,255.472,
2014-01-19,842.293,,229.781,
2014-01-20,886.057,,272.177,
2014-01-21,863.039,,218.289,
2014-01-22,852.448,,255.773,
2014-01-23,837.897,,222.274,
2014-01-24,808.157,,211.733,
2014-01-25,829.446,,189.766,
2014-01-26,861.16,,188.823,
2014-01-27,859.05,,212.797,
2014-01-28,798.213,,165.921,
2014-01-29,825.551,,183.105,
2014-01-30,812.648,,209.699,
2014-01-31,824.542,,191.262,
2014-02-01,838.57,,188.72,
2014-02-02,835.689,,194.874,
2014-02-03,816.934,,174.726,
2014-02-04,817.692,,189.086,
2014-02-05,830.298,,163.044,
2014-02-06,800.337,,168.568,
2014-02-07,727.901,,128.748,
2014-02-08,696.661,,141.035,
2014-02-09,676.229,,109.08,
2014-02-10,659.682,,138.637,
2014-02-11,661.433,,124.494,
2014-02-12,634.091,,131.629,
2014-02-13,574.95,,108.42,
2014-02-14,547.519,,110.106,
2014-02-15,587.908,,115.166,
2014-02-16,633.999,,120.731,
2014-02-17,630.288,,90.469,
2014-02-18,628.232,,104.778,
2014-02-19,622.409,,106.205,
2014-02-20,597.613,,94.72,
2014-02-21,565.081,,81.316,
2014-02-22,578.305,,104.883,
2014-02-23,618.523,,93.369,
2014-02-24,570.345,,96.52,
2014-02-25,499.8,,72.495,
2014-02-26,572.999,,99.284,
2014-02-27,580.375,,93.461,
2014-02-28,567.657,,81.992,
2014-03-01,560.083,,66.869,
2014-03-02,561.09,,70.374,
2014-03-03,604.807,,82.03,
2014-03-04,677.606,,92.501,
2014-03-05,662.002,,85.625,
2014-03-06,661.353,,96.408,
2014-03-07,642.185,,81.271,
2014-03-08,619.677,,80.342,
2014-03-09,627.479,,88.848,
2014-03-10,630.301,,74.49,
2014-03-11,625.927,,86.072,
2014-03-12,636.984,,90.213,
2014-03-13,638.79,,69.744,
2014-03-14,632.924,,69.325,
2014-03-15,631.464,,77.196,
2014-03-16,631.648,,80.775,
2014-03-17,625.026,,67.711,
2014-03-18,613.511,,70.018,
2014-03-19,613.783,,77.922,
2014-03-20,596.009,,73.325,
2014-03-21,582.231,,73.326,
2014-03-22,563.348,,62.296,
2014-03-23,564.372,,72.15,
2014-03-24,563.641,,65.813,
2014-03-25,577.854,,53.197,
2014-03-26,579.582,,58.742,
2014-03-27,543.197,,58.957,
2014-03-28,502.664,,47.856,
2014-03-29,499.324,,51.685,
2014-03-30,469.428,,41.739,
2014-03-31,457.005,,51.047,
2014-04-01,476.297,,45.155,
2014-04-02,466.322,,52.707,
2014-04-03,434.951,,42.285,
2014-04-04,444.394,,44.018,
2014-04-05,451.812,,36.63,
2014-04-06,459.325,,38.632,
2014-04-07,454.031,,37.171,
2014-04-08,451.41,,34.871,
2014-04-09,447.11,,38.678,
2014-04-10,407.703,,31.917,
2014-04-11,403.328,,36.814,
2014-04-12,425.31,,34.498,
2014-04-13,415.876,,34.141,
2014-04-14,445.898,,37.973,
2014-04-15,487.666,,38.65,
2014-04-16,517.354,,40.201,
2014-04-17,505.461,,40.706,
2014-04-18,485.296,,35.818,
2014-04-19,490.961,,34.435,
2014-04-20,501.271,,38.56,
2014-04-21,498.97,,34.316,
2014-04-22,491.704,,33.61,
2014-04-23,486.543,,34.897,
2014-04-24,487.399,,32.911,
2014-04-25,464.777,,38.655,
2014-04-26,456.496,,30.409,
2014-04-27,450.932,,34.548,
2014-04-28,435.888,,28.393,
2014-04-29,443.354,,34.459,
2014-04-30,444.261,,23.949,
2014-05-01,453.541,,33.477,
2014-05-02,448.574,,26.193,
2014-05-03,439.48,,25.963,
2014-05-04,434.535,,27.769,
2014-05-05,431.727,,25.148,
2014-05-06,427.341,,32.203,
2014-05-07,435.189,,24.362,
2014-05-08,440.75,,28.806,
2014-05-09,443.871,,28.392,
2014-05-10,449.566,,29.304,
2014-05-11,442.545,,24.482,
2014-05-12,438.129,,28.153,
2014-05-13,437.341,,24.27,
2014-05-14,441.538,,24.358,
2014-05-15,445.787,,26.216,
2014-05-16,444.766,,26.235,
2014-05-17,446.281,,24.313,
2014-05-18,445.298,,26.472,
2014-05-19,445.022,,25.001,
2014-05-20,465.278,,25.752,
2014-05-21,492.31,,28.475,
2014-05-22,509.156,,28.551,
2014-05-23,529.149,,30.066,
2014-05-24,519.347,,25.554,
2014-05-25,559.931,,28.346,
2014-05-26,580.277,,27.2,
2014-05-27,573.388,,26.066,
2014-05-28,571.987,,29.06,
2014-05-29,566.816,,26.207,
2014-05-30,593.201,,30.648,
2014-05-31,619.564,,29.224,
2014-06-01,644.487,,31.699,
2014-06-02,635.862,,33.291,
2014-06-03,664.422,,29.974,
2014-06-04,641.523,,30.281,
2014-06-05,651.272,,29.766,
2014-06-06,654.137,,26.326,
2014-06-07,650.778,,29.424,
2014-06-08,652.884,,25.359,
2014-06-09,648.195,,30.309,
2014-06-10,650.767,,27.835,
2014-06-11,642.504,,26.993,
2014-06-12,621.319,,28.294,
2014-06-13,595.946,,25.093,
2014-06-14,575.029,,25.211,
2014-06-15,565.303,,24.782,
2014-06-16,596.048,,25.426,
2014-06-17,596.985,,25.114,
2014-06-18,607.673,,21.007,
2014-06-19,603.129,,23.957,
2014-06-20,590.957,,23.422,
2014-06-21,589.485,,21.869,
2014-06-22,598.9,,20.244,
2014-06-23,589.476,,23.387,
2014-06-24,585.681,,22.066,
2014-06-25,568.912,,21.008,
2014-06-26,569.836,,20.702,
2014-06-27,583.871,,23.439,
2014-06-28,596.82,,21.887,
2014-06-29,594.664,,16.834,
2014-06-30,620.059,,17.95,
2014-07-01,649.274,,19.342,
2014-07-02,645.747,,19.238,
2014-07-03,643.645,,19.454,
2014-07-04,636.579,,20.891,
2014-07-05,629.756,,17.597,
2014-07-06,632.787,,18.439,
2014-07-07,626.639,,19.359,
2014-07-08,621.123,,18.424,
2014-07-09,621.434,,19.194,
2014-07-10,616.557,,17.967,
2014-07-11,622.121,,18.387,
2014-07-12,632.056,,18.918,
2014-07-13,629.664,,18.615,
2014-07-14,621.8,,16.674,
2014-07-15,621.061,,20.209,
2014-07-16,617.3,,15.782,
2014-07-17,617.851,,19.657,
2014-07-18,622.126,,18.639,
2014-07-19,626.392,,18.406,
2014-07-20,622.21,,16.354,
2014-07-21,618.92,,18.686,
2014-07-22,620.249,,17.067,
2014-07-23,618.566,,18.322,
2014-07-24,607.944,,16.689,
2014-07-25,600.002,,18.451,
2014-07-26,594.585,,14.706,
2014-07-27,596.029,,16.139,
2014-07-28,585.359,,16.789,
2014-07-29,584.376,,15.408,
2014-07-30,574.994,,16.409,
2014-07-31,574.929,,14.636,
2014-08-01,591.067,,16.136,
2014-08-02,590.42,,16.082,
2014-08-03,583.32,,14.698,
2014-08-04,585.95,,14.489,
2014-08-05,582.376,,15.816,
2014-08-06,581.009,,17.516,
2014-08-07,583.85,,15.401,
2014-08-08,590.585,,15.245,
2014-08-09,586.527,,16.117,
2014-08-10,588.101,,14.72,
2014-08-11,583.969,,15.336,
2014-08-12,568.256,,13.519,
2014-08-13,551.058,,12.546,
2014-08-14,518.99,,15.012,
2014-08-15,506.064,,12.53,
2014-08-16,501.845,,12.008,
2014-08-17,504.405,,13.48,
2014-08-18,476.384,,13.403,
2014-08-19,476.972,,10.84,
2014-08-20,491.137,,10.446,
2014-08-21,521.423,,10.769,
2014-08-22,513.078,,10.287,
2014-08-23,503.706,,11.042,
2014-08-24,504.419,,9.697,
2014-08-25,502.862,,10.622,
2014-08-26,507.703,,11.94,
2014-08-27,514.911,,10.965,
2014-08-28,509.791,,10.545,
2014-08-29,506.639,,10.634,
2014-08-30,502.665,,11.234,
2014-08-31,488.836,,10.252,
2014-09-01,479.421,,7.375,
2014-09-02,477.176,,9.013,
2014-09-03,475.398,,9.338,
2014-09-04,481.297,,8.269,
2014-09-05,484.581,,8.531,
2014-09-06,481.482,,9.979,
2014-09-07,481.745,,8.087,
2014-09-08,470.073,,8.036,
2014-09-09,466.454,,8.867,
2014-09-10,482.398,,9.157,
2014-09-11,475.58,,9.501,
2014-09-12,472.322,,7.864,
2014-09-13,475.441,,9.192,
2014-09-14,476.655,,7.42,
2014-09-15,474.915,,8.332,
2014-09-16,467.613,,8.155,
2014-09-17,456.38,,7.806,
2014-09-18,438.518,,7.221,
2014-09-19,405.935,,6.72,
2014-09-20,410.022,,7.223,
2014-09-21,401.12,,6.349,
2014-09-22,400.275,,7.104,
2014-09-23,407.475,,6.408,
2014-09-24,428.517,,7.199,
2014-09-25,411.195,,7.038,
2014-09-26,404.503,,5.174,
2014-09-27,401.439,,6.021,
2014-09-28,390.912,,5.281,
2014-09-29,377.415,,5.585,
2014-09-30,379.119,2.82,6.015,
2014-10-01,384.118,,5.48,
2014-10-02,377.698,,5.265,
2014-10-03,367.304,,5.587,
2014-10-04,345.878,0.476,5.26,
2014-10-05,315.801,0.494,4.542,
2014-10-06,322.456,0.492,4.632,
2014-10-07,328.313,0.506,4.121,
2014-10-08,339.094,0.591,5.151,
2014-10-09,364.531,0.731,5.83,
2014-10-10,362.28,0.686,5.194,
2014-10-11,359.388,0.629,4.774,
2014-10-12,362.544,,5.362,
2014-10-13,378.689,,5.629,
2014-10-14,402.084,,5.355,
2014-10-15,393.788,0.635,5.812,
2014-10-16,386.265,0.709,5.522,
2014-10-17,379.451,0.695,5.495,
2014-10-18,384.702,0.401,5.757,
2014-10-19,388.404,,5.082,
2014-10-20,382.291,0.567,5.489,
2014-10-21,383.996,0.651,6.14,
2014-10-22,382.802,0.637,5.284,
2014-10-23,367.289,0.622,5.229,
2014-10-24,355.716,,4.963,
2014-10-25,349.089,,5.041,
2014-10-26,351.284,,4.245,
2014-10-27,352.794,0.7,5.556,
2014-10-28,352.906,0.705,4.528,
2014-10-29,344.899,,5.213,
2014-10-30,337.866,0.649,4.87,
2014-10-31,341.339,0.615,4.926,
2014-11-01,329.102,,4.338,
2014-11-02,324.34,,4.272,
2014-11-03,327.819,,4.94,
2014-11-04,325.84,,4.408,
2014-11-05,336.991,,3.637,
2014-11-06,342.284,,4.897,
2014-11-07,344.945,,4.275,
2014-11-08,343.176,,4.519,
2014-11-09,349.881,0.628,4.66,
2014-11-10,365.791,0.63,4.36,
2014-11-11,366.689,0.628,4.277,
2014-11-12,394.94,0.669,5.384,
2014-11-13,428.535,0.721,5.674,
2014-11-14,397.306,0.656,5.12,
2014-11-15,386.82,0.699,4.642,
2014-11-16,384.374,0.701,5.045,
2014-11-17,397.121,0.719,4.862,
2014-11-18,381.052,1.671,4.956,
2014-11-19,378.646,0.68,4.653,
2014-11-20,365.837,0.742,4.598,
2014-11-21,351.592,0.756,4.279,
2014-11-22,356.53,0.652,4.647,
2014-11-23,358.505,0.611,4.352,
2014-11-24,374.924,,4.773,
2014-11-25,383.251,,4.394,
2014-11-26,371.775,0.699,4.695,
2014-11-27,370.752,0.706,4.808,
2014-11-28,369.434,0.697,4.534,
2014-11-29,378.702,0.666,5.009,
2014-11-30,377.846,0.651,4.78,
2014-12-01,379.647,,4.115,
2014-12-02,381.317,,5.17,
2014-12-03,378.7,0.733,4.5,
2014-12-04,374.17,0.6,4.937,
2014-12-05,372.933,,4.916,
2014-12-06,374.938,,4.271,
2014-12-07,375.025,0.698,4.555,
2014-12-08,368.947,0.686,5.328,
2014-12-09,352.726,0.761,4.422,
2014-12-10,349.289,0.762,3.939,
2014-12-11,351.872,0.788,4.813,
2014-12-12,350.835,0.769,4.162,
2014-12-13,347.5,,4.464,
2014-12-14,348.199,0.761,4.434,
2014-12-15,347.166,0.666,4.218,
2014-12-16,335.169,0.819,4.475,
2014-12-17,323.149,0.669,3.866,
2014-12-18,312.662,0.77,3.858,
2014-12-19,312.341,0.761,4.35,
2014-12-20,324.713,0.8,3.903,
2014-12-21,323.943,0.771,3.948,
2014-12-22,328.083,0.763,5.068,
2014-12-23,332.744,0.757,3.94,
2014-12-24,329.188,0.739,4.224,
2014-12-25,319.032,0.719,3.906,
2014-12-26,323.135,0.781,4.278,
2014-12-27,318.737,0.774,3.861,
2014-12-28,315.441,,4.283,
2014-12-29,314.822,,3.904,
2014-12-30,311.944,,4.006,
2014-12-31,312.724,0.722,3.704,
2015-01-01,315.626,0.734,4.049,
2015-01-02,314.346,0.726,3.938,
2015-01-03,303.591,,3.695,
2015-01-04,274.82,0.727,3.586,
2015-01-05,272.076,0.677,3.18,
2015-01-06,276.104,0.77,3.453,
2015-01-07,287.178,0.843,3.249,
2015-01-08,287.542,1.007,3.81,
2015-01-09,283.794,1.166,3.261,
2015-01-10,280.21,1.258,3.567,
2015-01-11,273.146,1.326,3.563,
2015-01-12,269.036,1.351,3.011,
2015-01-13,239.441,1.226,2.807,
2015-01-14,197.577,1.044,2.293,
2015-01-15,205.937,1.341,2.515,
2015-01-16,211.756,1.15,2.254,
2015-01-17,200.604,1.214,2.331,
2015-01-18,205.929,1.131,2.466,
2015-01-19,211.824,1.221,2.216,
2015-01-20,210.64,1.169,2.278,
2015-01-21,214.636,1.05,2.824,
2015-01-22,232.311,1.05,2.342,
2015-01-23,229.752,1.016,2.546,
2015-01-24,237.146,1.148,2.805,
2015-01-25,248.51,1.07,2.794,
2015-01-26,281.323,1.017,3.264,
2015-01-27,261.244,0.927,3.302,
2015-01-28,252.788,0.768,3.261,
2015-01-29,232.4,0.738,2.818,
2015-01-30,232.471,1.06,2.533,
2015-01-31,227.909,1.059,3.133,
2015-02-01,218.482,,2.415,
2015-02-02,226.795,1.019,2.954,
2015-02-03,236.83,0.859,2.534,
2015-02-04,225.308,0.685,2.92,
2015-02-05,222.448,0.614,2.879,
2015-02-06,219.936,0.86,2.794,
2015-02-07,225.863,0.796,2.59,
2015-02-08,224.9,0.776,2.556,
2015-02-09,220.946,0.695,2.818,
2015-02-10,218.176,0.612,2.308,
2015-02-11,220.585,0.569,2.638,
2015-02-12,219.338,0.679,2.105,
2015-02-13,231.691,0.68,2.888,
